ACCE_ABSORB_COST	Стоимость сочетания: %d
FOOTBALL_EVENT_MESSAGE_GET_FOOTBALL	Вы получили 1 футбольный мяч.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_FOOTBALL	Не хватает футбольных мячей.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_INVENTORY	В инвентаре не хватает места.
FOR_FEMALE	Для женщин
FOR_MALE	Для мужчин
FRAGMENT_COMB_COST	Стоимость сочетания: %s
GAME_CANNOT_MINING	Сбор руды невозможен, пока вы на коне.
GAME_CANNOT_PICK_ITEM	Забрать предмет невозможно, поскольку он был захвачен не вами.
GAME_GUILDWAR_NOW_JOIN	Хотите присоединиться к войне гильдий?
GAME_INIT_ERROR_CURSOR	Курсор не установлен.
GAME_INIT_ERROR_DIRECTX	Для игры необходимо установить DirectX 8.1. \nУстановите DirectX версии 8.1 или выше.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Видеоадаптер не найден. \nПроверьте правильность установки видеокарты.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Видеоадаптер не установлен.\nПроверьте, вставлена ли видеокарта.\nЛибо включите аппаратное ускорение.\n(Установите ползунок аппаратного ускорения на максимум в \nПанель управления - Экран - Параметры - Дополнительно - Диагностика)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Ваша видеокарта не поддерживает 32-битную цветопередачу в оконном режиме. \nУстановите 16-битную цветопередачу или полноэкранный режим.
GAME_INIT_ERROR_ITEM_PROTO	Не найдены данные о предметах. \nПереустановите игру.
GAME_INIT_ERROR_MAIN_WINDOW	Приложение вызвало ошибку и будет закрыто.
GAME_INIT_ERROR_MOB_PROTO	Не найдены данные о существах. \nПереустановите игру.
GAME_INIT_ERROR_NETWORK	Сетевые устройства не установлены. \nПроверьте соединение с интернетом.
GAME_PICK_MONEY	Вы получили %s янг.
GAME_USE_MONEY	Выдано %s янг.
GEM_SYSTEM_ADD_SLOT	Требуется предмет: %s.\nХотите использовать %d таких, чтобы открыть еще одно место?
GEM_SYSTEM_BUY_ITEM	Хотите купить этот предмет?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] У вас недостаточно «Сбросить биржу Gaya».
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] У вас недостаточно Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Больше мест открывать нельзя.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Сначала откройте биржу Gaya.
GEM_SYSTEM_PICK_GEM	Вы получили %s Gaya.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Хотите сбросить?
GEM_USE_GEM	Выдано %s Gaya.
GIVEUP_QUESTION	Вы точно хотите отказаться?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	Вы не можете использовать этот предмет; событие прошло.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	Это нельзя использовать, если взрыв-башня уже активирована.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	Вы нашли все поля с золотыми ягодами! Награду вы получите по почте.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	Вы нашли поле с золотыми ягодами!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Это не поле с золотыми ягодами.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	У вас не хватает золотых ягод.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	Активирована защита от взрыва. Вы защищены от следующей взрыв-башни.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	Защита от взрыва спасла вас и была потрачена. Взрыв-башни снова могут вам навредить.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Вы перенесетесь на следующий уровень.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Вы можете оставаться в Золотой стране еще %d минут(ы).
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	Извечная экспедиция закончилась.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	Извечная экспедиция началась! Победите Извечного стражника и отправляйтесь в Золотую землю!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Вы можете покупать предметы у Торговца из каравана.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Вы перенесетесь к оазису.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Извечные статуи появятся через 10 секунд.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Вы не можете использовать этот предмет — у вас слишком низкий уровень.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Вы уже это сбросили.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	У вас нет Извечного нового начала.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Ваши попытки входа и игровая доска успешно сброшены.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	У вас не хватает места в инвентаре.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	У вас не хватает горьких ягод.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Вы не можете получить больше золотых ягод — вы уже превысили максимальный лимит.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Вы получаете горькие ягоды: %d
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Вы получаете горькие ягоды: %d (Ваши горькие ягоды: %d)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Ваши золотые ягоды: %d
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Хотите открыть поле за золотые ягоды (%d)?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Если применить, сбросятся как число оставшихся входов в Золотую землю, так и игровая доска поиска золотых ягод. Точно продолжить?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Осталось взрыв-башен: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Осталось извечных статуй: %d
GUILDBANK_CLEARBANK	Внимание! Склад гильдии должен быть пуст!
GUILDBANK_DONT_MONEY_OUT	В банке гильдии нет ни янга!
GUILDBANK_GOLD_IN	Внесение
GUILDBANK_GOLD_OUT	Выплата
GUILDBANK_ITEM_IN	Положить
GUILDBANK_ITEM_OUT	Забрать
GUILDBANK_MONEYIN	Внести янг
GUILDBANK_MONEYOUT	Получить янг
GUILDBANK_NOTUSE	У вас не хватает для этого прав.
GUILDBANK_NOT_ENOUGH_MONEY	У вас не хватает янг для внесения.
GUILDBANK_OVER_INCOME	Достигнут лимит по счету.
GUILDBANK_OVER_MONEY	Счет гильдии полон.
GUILDLAND_ABANDON	Отказаться от земли гильдии
GUILDLAND_ABANDON_TEXT1	Хотите отказаться от земли гильдии?
GUILDLAND_ABANDON_TEXT2	Вы точно хотите отказаться от земли гильдии?
GUILDLAND_ABANDON_TEXT3	Склад гильдии и все постройки будут удалены.
GUILDLAND_ACCEPT	Да
GUILDLAND_DONTHAVE_LAND	У вас нет земли гильдии.
GUILDLAND_NOT	Нет
GUILDLIST_APPLICANT	Хотите стать претендентом?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Высота изображения не 12 пикселей.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Ширина изображения не 16 пикселей.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Ширина изображения не 64 пикселей
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Высота изображения не 128 пикселей.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Игра не поддерживает данное изображение.
GUILDMARK_UPLOADER_ERROR_PATH	Скопируйте файлы в папку metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Файл изображения не выбран.
GUILDWAR_ALL	Сражения (С)
GUILDWAR_CTF_TITLE	Сражение за флаги
GUILDWAR_DRAW	Ничьи (Н)
GUILDWAR_GAINSCORE_FIFTY	50 очков
GUILDWAR_GAINSCORE_HUNDRED	100 очков
GUILDWAR_GAINSCORE_THIRTY	30 очков
GUILDWAR_GAMETIME_SIXTY	60 минут
GUILDWAR_GAMETIME_TEN	10 минут
GUILDWAR_GAMETIME_THIRTY	30 минут
GUILDWAR_INPUT_OTHERGUILD	Введите имя гильдии-соперника.
GUILDWAR_LADDER	Очки ранга
GUILDWAR_LIMIT_MEMBER_FIVE	Минимальное число участников: 5
GUILDWAR_LOSE	Поражения (П)
GUILDWAR_NORMAL_TITLE	Поле битвы
GUILDWAR_OVER_MEMBERCOUNT	У вас макс. число участников.
GUILDWAR_QUESTION_LINE_1	Гильдия %s объявила войну вашей гильдии.
GUILDWAR_QUESTION_LINE_2	Принять? (%s)
GUILDWAR_RANKING	Ранг
GUILDWAR_RECODE_ALL	%d С, %d В, %d П, %d Н
GUILDWAR_SELECT_MEMBER_COUNT	Выберите число участников.
GUILDWAR_TYPE_DEFENSE	Защита объекта
GUILDWAR_TYPE_TIGER	Уничтожение
GUILDWAR_TYPE_TIME	Гонка за победой
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Арена войны гильдий
GUILDWAR_WIN	Выигрыши (В)
GUILDWAR_WIN_FIVE	Пять раундов
GUILDWAR_WIN_ONE	Один раунд
GUILDWAR_WIN_THREE	Три раунда
GUILDWINDOW_BUTTON_BANKGOLDINFO	Журнал склада гильдии
GUILDWINDOW_BUTTON_BASEABANDON	Отказаться от земли гильдии
GUILDWINDOW_BUTTON_BASEDEAL	Продать землю гильдии
GUILDWINDOW_BUTTON_BOARD	Заметки гильдии
GUILDWINDOW_BUTTON_CHANGEMASTER	Сменить Лидера гильдии
GUILDWINDOW_BUTTON_DECLARE	Объявление войны
GUILDWINDOW_BUTTON_DONATE	Взнос
GUILDWINDOW_BUTTON_GOLDIN	Внесение
GUILDWINDOW_BUTTON_GOLDOUT	Выплата
GUILDWINDOW_BUTTON_GRADE	Управление правами
GUILDWINDOW_BUTTON_GUILDLIST	Список гильдий
GUILDWINDOW_BUTTON_HEALGSP	Восстановить Мощь дракона
GUILDWINDOW_BUTTON_INFO	Информация о гильдии
GUILDWINDOW_BUTTON_LANDINFO	Информация о земле
GUILDWINDOW_BUTTON_MARK	Загрузить символ гильдии
GUILDWINDOW_BUTTON_MEMBER	Участники
GUILDWINDOW_BUTTON_OFFER	Потратить опыт
GUILDWINDOW_BUTTON_OUTMEMBER	Исключение участника
GUILDWINDOW_BUTTON_SKILL	Навыки гильдии
GUILDWINDOW_BUTTON_SYMBOL	Загрузить флаг гильдии
GUILDWINDOW_BUY_GUILD_LAND	Купить землю
GUILDWINDOW_CHANGE_BLACKSMITH	Изменить профессию
GUILDWINDOW_CHANGE_OBJECT	Переустройство
GUILDWINDOW_CHANGE_SMELTER	Сменить печь
GUILDWINDOW_CREATE_OBJECT	Строительство
GUILDWINDOW_DEAL_GUILD_LAND	Продать землю
GUILDWINDOW_GRADE_BANK	Может использовать банк и склад гильдии
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Может исключать участников из гильдии
GUILDWINDOW_GRADE_GRADENAME	Имя в ранге
GUILDWINDOW_GRADE_GRADENUMBER	Номер в ранге
GUILDWINDOW_GRADE_GUILDWAR	Может выбирать тех участников, кто сможет участвовать в сражениях
GUILDWINDOW_GRADE_INVITEAUTHORITY	Может принимать игроков в гильдию
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Может прикреплять заметки гильдии
GUILDWINDOW_GRADE_SKILLAUTHORITY	Может использовать навыки гильдии
GUILDWINDOW_INFO_LEVEL5	+5% опыта за взнос в гильд.
GUILDWINDOW_INFO_LEVEL10	Повышает макс. число участ.
GUILDWINDOW_INFO_LEVEL15	Скидка: Мощь дракона
GUILDWINDOW_INFO_LEVEL20	Банк: освобожд. от налогов
GUILDWINDOW_LAND_TAX	Аренда
GUILDWINDOW_LIST_ALL	Все империи
GUILDWINDOW_LIST_ALREADY_REGISTER	[Гильдия] Вы уже в претендентах.
GUILDWINDOW_LIST_APPLICANT_LIST	Список претендентов
GUILDWINDOW_LIST_CHRACTER_JOB	Класс
GUILDWINDOW_LIST_CHRACTER_LV	Уровень
GUILDWINDOW_LIST_CHRACTER_NAME	Имя персонажа
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Учение
GUILDWINDOW_LIST_EMPIRE_A	Шиньзо
GUILDWINDOW_LIST_EMPIRE_B	Хунджо
GUILDWINDOW_LIST_EMPIRE_C	Джинно
GUILDWINDOW_LIST_GUILDMEMBER	Участники
GUILDWINDOW_LIST_GUILD_LIST	Список гильдий
GUILDWINDOW_LIST_GUILD_LV	Уровень
GUILDWINDOW_LIST_GUILD_NAME	Гильдия
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Гильдия] Введите имя гильдии.
GUILDWINDOW_LIST_LADDER	Очки ранга
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Гильдия] У этой гильдии нет объявлений.
GUILDWINDOW_LIST_PROMOTE_GUILD	Заявка
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Список гильдий
GUILDWINDOW_LIST_RANKING	Положение
GUILDWINDOW_LIST_RANKING_COUNT	Положение
GUILDWINDOW_LIST_REGISTER	Заявки
GUILDWINDOW_LIST_REGISTER_GUILD	Подать заявку на вступление в гильдию
GUILDWINDOW_LIST_SEARCH	Поиск
GUILDWINDOW_LIST_SELECT_GUILD	[Гильдия] Выберите гильдию, в которую хотите подать заявку.
GUILDWINDOW_PROMOTE_REFRESH	Реклама
GUILDWINDOW_PROMOTE_REGISTER	Реклама
GUILDWINDOW_SP_RECOVER	Мощь Дракона
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Расширить алтарь
GUILDWINDOW_UPGRADE_GUILDBANK	Расширить банк
GUILD_ATTENDANCE_FAIL_ALREADY	Сегодня вы уже участвовали.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Сейчас вы не можете участвовать. Участие сбрасывается каждый день в 5:00.
GUILD_BANKINFO_CLOSE	Закрыть
GUILD_BANKINFO_NAME	Участник
GUILD_BANKINFO_TYPE	Предмет/Валюта
GUILD_BANKINFO_USETYPE	Действие
GUILD_BANK_CLOSE	Закрыть
GUILD_BANK_INFO	Журнал склада гильдии
GUILD_BOARD_ID	Участник
GUILD_BOARD_TEXT	Сообщение
GUILD_BUILDING_FIX_CHANGE	Вы точно хотите изменить положение?
GUILD_BUILDING_FIX_CHANGE_GOLD	Стоимость: 1 000 000 янг
GUILD_BUILDING_FIX_DELETE	Вы точно хотите удалить объект?
GUILD_BUILDING_FIX_NEED_BUILDING	Нет зданий.
GUILD_BUILDING_GRADE	Ранг
GUILD_BUILDING_LOG_PLUS	Бревно+
GUILD_BUILDING_NAME	Название здания
GUILD_BUILDING_PLY_PLUS	Фанера+
GUILD_BUILDING_SMELT_STONE	Рунный камень
GUILD_BUILDING_STONE_PLUS	Фундаментальный камень+
GUILD_CANNOT_HEAL_GSP_ANYMORE	Энергия Духа Дракона полностью востановлена.
GUILD_CHANGEMASTER_TEXT1	Новым лидером станет: %s
GUILD_CHANGEMASTER_TEXT2	Хотите назначить нового лидера гильдии?
GUILD_CHANGEMASTER_TEXT3	Вы точно хотите передать
GUILD_CHANGEMASTER_TEXT4	позицию лидера гильдии?
GUILD_COMMENT	Писать
GUILD_CREATE_ERROR_INSULT_NAME	Имя гильдии недопустимо.
GUILD_DEFAULT_GRADE	Член гильдии
GUILD_DELETE	Удалить
GUILD_DEPOSIT	Отложить
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	У вас не хватает купонов на высокий взнос.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Ваш инвентарь полон. Вы не можете делать взнос.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Чтобы жертвовать, нужно набрать хотя бы 30 уровень.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	У вас не хватает купонов на средний взнос.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Не хватает янг.
GUILD_DONATE_FAIL_TIME	Вы не можете жертвовать 24 часа после вступления в гильдию.
GUILD_DONATE_QUESTION_HIGH	Вы хотите сделать большой взнос?
GUILD_DONATE_QUESTION_MIDDLE	Вы хотите сделать средний взнос?
GUILD_DONATE_QUESTION_NORMAL	Вы хотите сделать малый взнос?
GUILD_DO_YOU_HEAL_GSP	Желаете восстановить за %d янг %d Духа Дракона?
GUILD_DO_YOU_JOIN	 хотите присоединиться к гильдии?
GUILD_DRAGONLAIR_MIN	Мин.
GUILD_DRAGONLAIR_PARTY_ALL	Общий список лучших
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	С 11 места: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Помощь
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1 место: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4-10 места: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2-3 места: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Участники
GUILD_DRAGONLAIR_PARTY_NOW	Список лучших за неделю
GUILD_DRAGONLAIR_PARTY_PAST	Прошлый список лучших
GUILD_DRAGONLAIR_PARTY_TIME	Время
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Награда
GUILD_DRAGONLAIR_RANKING_FAIL	НЕУДАЧА
GUILD_DRAGONLAIR_RANKING_NONE	НОВ.
GUILD_DRAGONLAIR_RANKING_SUCCESS	УСПЕХ
GUILD_DRAGONLAIR_SECOND	Сек.
GUILD_EMPTY_AREA	Пустая Земля
GUILD_ENEMY_GUILD_NAME	Имя гильдии противника
GUILD_FACILITY	Пристройка
GUILD_GEM	Самоцвет
GUILD_HEADQUARTER	Главный корпус
GUILD_HEAL_GSP	Восстановить Дух Дракона
GUILD_INFO_ENEMY_GUILD_EMPTY	нет
GUILD_MARK_NOT_ENOUGH_LEVEL	Требуется мин. 3 уровень
GUILD_MARK_UPLOAD_NOTICE	Для регистрации логотипа гильдии надо немного подождать.
GUILD_MEMBEROUT_AUTH	Вы не можете удалять участников.
GUILD_MEMBEROUT_NOMAL	Вы хотите удалить этого участника?
GUILD_MEMBER_JOB	Класс
GUILD_MEMBER_KNIGHT	Воины
GUILD_MEMBER_LEVEL	Уровень
GUILD_MEMBER_NAME	Участник
GUILD_MEMBER_RANK	Ранг
GUILD_MEMBER_SPECIFIC_GRAVITY	Пожертвованный опыт
GUILD_NAME	Имя гильдии
GUILD_NOT_ENOUGH_MATERIAL	У вас недостаточно строительного материала, чтобы построить это здание.
GUILD_NOT_ENOUGH_MONEY	У вас недостаточно янг для  этого сооружения.
GUILD_NO_NOTICE_PERMISSION	Вы не вправе делать уведомления.
GUILD_OBJECT	Объекты
GUILD_OBJECT_POSSIBLE_NEWWORLD	Эта постройка доступна только на континенте Yohara.
GUILD_OFFER_EXP	Инвестировать опыт
GUILD_SELECT_ONE	Выберите члена гильдии.
GUILD_SHORT_EXP	Недостаточно опыта
GUILD_SITE_AUCTION_END_TIME	Земельный аукцион: %02d/%02d (месяц/день) в %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Земельный аукцион: Н/Д
GUILD_SITE_AUCTION_INFO	Предлагается земля: %s / %d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Предлагается земля: Н/Д
GUILD_SITE_AUCTION_MAP_INFO	Дата (месяц/день): %02d/%02d; Время: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Все ставки сделаны.
GUILD_SITE_AUCTION_STATE_REGIST	В области %s продается земля %s,%s. Только лидеры гильдии могут регистрироваться на земельный аукцион.
GUILD_SITE_AUCTION_STATE_RUN	Земельный аукцион закончится %02d/%02d (месяц/день) в %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	%02d/%02d (месяц/день) в %02d:%02d начнется земельный аукцион за %s, страна %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	Автоматический отказ от земли: %s
GUILD_SITE_TAX_INFO	Земля гильдии будет сдана через %s. Все предметы на складе гильдии пропадут.
GUILD_TILE_BASEINFO	Информация о земле
GUILD_TILE_BOARD	Заметки гильдии
GUILD_TILE_GRADE	Управление позицией
GUILD_TILE_INFO	Гильдия-инфо
GUILD_TILE_MEMBER	Участники
GUILD_TILE_SKILL	Навыки гильдии
GUILD_USE_MASTER_ONLY	Это право есть только у Лидера гильдии.
GUILD_VILLAGE_01	Мирйанг
GUILD_VILLAGE_02	Сонгпа
GUILD_VILLAGE_03	Даэйами
GUILD_WAR1	Территория войны гильдий
GUILD_WAR2	Территория войны гильдий
GUILD_WAR3	Территория войны гильдий
GUILD_WAR4	Территория войны гильдий
GUILD_WAR_GAINSCORE_FIFTY	50 очков
GUILD_WAR_GAINSCORE_HUNDRED	100 очков
GUILD_WAR_GAINSCORE_THIRTY	30 очков
GUILD_WAR_GAMETIME_SIXTY	60 минут
GUILD_WAR_GAMETIME_TEN	10 минут
GUILD_WAR_GAMETIME_THIRTY	30 минут
GUILD_WAR_LIMIT_30MIN	Время: 30 минут
GUILD_WAR_REWARD_POTION	Награда: победитель получает зелье
GUILD_WAR_SELECT_WAR	Выбрать вид сражения
GUILD_WAR_TYPE_DEFENSE	Защита объекта
GUILD_WAR_TYPE_DIE	Сражение на арене
GUILD_WAR_TYPE_FLAG	Сражение за флаги
GUILD_WAR_TYPE_NORMAL	Поле битвы
GUILD_WAR_TYPE_TIGER	Уничтожение
GUILD_WAR_TYPE_TIME	Гонка за победой
GUILD_WAR_USE_BATTLE_MAP	Местность: арена войны гильдий
GUILD_WAR_USE_NORMAL_MAP	Местонахождение: стандартная карта
GUILD_WAR_WIN_CHECK_SCORE	Лучший результат приносит победу в войне.
GUILD_WAR_WIN_FIVE	Пять раундов
GUILD_WAR_WIN_ONE	Один раунд
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Захватите флаг противника
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	и принесите его к Вашей базе.
GUILD_WAR_WIN_THREE	Три раунда
GUILD_WAR_WIN_WIPE_OUT_GUILD	Устраните всех противников, чтобы победить.
GUILD_WITHDRAW	Отвод
GUILD_YOU_DO_NOT_JOIN	Вы не состоите ни в одной гильдии.
HACK_USER_MESSAGE	Эта функция недоступна, поскольку обнаружена программа для взлома.
HORSE_HEALTH0	Убит
HORSE_HEALTH1	Голоден
HORSE_HEALTH2	Умирает от голода
HORSE_HEALTH3	перегружен
HORSE_LEVEL1	Обычный конь
HORSE_LEVEL2	Броневой конь
HORSE_LEVEL3	Боевой конь
HORSE_LEVEL4	Могучий боевой конь
HOUR	Ч.
HOW_MANY_ITEM_DO_YOU_DROP1	Хотите выбросить %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Хотите выбросить %s %d ?
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Вы перенесли ледяные пули (%d) в новое меню события.
ICECREAM_EVENT_GET_SCOOP	Вы получили ледяную пулю.
ICECREAM_EVENT_SCOOP_MAX_COUNT	Вы не можете получить больше ледяных пуль.
INPUT_MATRIX_CARD_NUMBER	Введите номер "матрица"-карты.
INPUT_MATRIX_CARD_TITLE	"Матрица"-карта
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Введите код удаления из управления учётной записью.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Удалить персонаж
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Комбинирование свитка Возвращения невозможно.
INVENTORY_REALLY_USE_ITEM	Применить на этом предмете?
INVENTORY_REALLY_USE_ITEM2	Вы точно хотите использовать этот предмет?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Желаете действительно поместить своего питомца в Транспортную клетку?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Желаете открыть Транспортную клетку?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Желаете %s скормить %s?
IS_NOT_PET_CHANGE_ITEM	Это не предмет «Зачаровать питомца».
IS_NOT_PET_ITEM	Это не питомец.
ITEM_CANNOT_REFINE	Этот предмет нельзя улучшить.
ITEM_TOOLTIP_DESC_GEM_BAG_DEFAULT	После использования вы можете собрать в него до 9.999 Gaya. | Они пропадут через 30 дней.\nGaya-узелок подлежит торгу.
ITEM_TOOLTIP_DESC_GEM_BAG_HAVE_GEM	Gaya-узелок (%d Gaya, подлежит торгу). \nОткрыв узелок, вы получите %d Gaya.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD	В награду за то, что вы болели за команду победителей, вы получаете спортивную сумку с Gaya.\nОна не подлежит торгу
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD_HAVE_GEM	Спортивная сумка с Gaya (%d Gaya, не подлежит торгу). \nОткрыв спортивную сумку, вы получите %d Gaya.
JOB_ASSASSIN	Ниндзя
JOB_ASSASSIN0	Никакой
JOB_ASSASSIN1	Ниндзя-мечник
JOB_ASSASSIN2	Ниндзя-лучник
JOB_SHAMAN	Шаман
JOB_SHAMAN0	Никакой
JOB_SHAMAN1	Шаман-дракон
JOB_SHAMAN2	Шаман-лекарь
JOB_SURA	Сура
JOB_SURA0	Никакой
JOB_SURA1	Сура-воин
JOB_SURA2	Сура-маг
JOB_WARRIOR	Воин
JOB_WARRIOR0	Нет
JOB_WARRIOR1	Воин физического боя
JOB_WARRIOR2	Воин духовного боя
JOB_WOLFMAN	Ликан
JOB_WOLFMAN0	Ликан любитель
JOB_WOLFMAN1	Инстинкт
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Закрыть не сохранив?
KEYCHANGE_IMPOSSIBLE_CHANGE	[Ctrl], [Alt], [Shift] здесь не допускаются!
KEYCHANGE_SAVE_EXIT	Сохранить и закрыть?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
