ACCEPT	ОК
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Инвентарь
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3 Инвентарь
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4 Инвентарь
INVENTORY_TITLE	Инвентарь
ITEM_MALL	Магазин предметов
KEYCHANGE_ACTION_WINDOW	Действия
KEYCHANGE_ATTACK	Атаковать
KEYCHANGE_AUTORUN	Авто бег
KEYCHANGE_AUTO_WINDOW	Автоохота
KEYCHANGE_BASEACTION	Основные настройки
KEYCHANGE_CAM_DOWN1	Камера (вниз)
KEYCHANGE_CAM_DOWN2	Камера (вниз)
KEYCHANGE_CAM_LEFT1	Камера (влево)
KEYCHANGE_CAM_LEFT2	Камера (влево)
KEYCHANGE_CAM_RIGHT1	Камера (вправо)
KEYCHANGE_CAM_RIGHT2	Камера (вправо)
KEYCHANGE_CAM_UP1	Камера (вверх)
KEYCHANGE_CAM_UP2	Камера (вверх)
KEYCHANGE_CAM_ZOOM_IN1	Камера (приблизить)
KEYCHANGE_CAM_ZOOM_IN2	Камера (приблизить)
KEYCHANGE_CAM_ZOOM_OUT1	Камера (отдалить)
KEYCHANGE_CAM_ZOOM_OUT2	Камера (отдалить)
KEYCHANGE_CANCLE	Отменить
KEYCHANGE_CHAT_WINDOW	Протокол чата
KEYCHANGE_CLEAR	Обычный
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Назад
KEYCHANGE_DOWN2	Назад
KEYCHANGE_DRAGON_GATE	
KEYCHANGE_DSS1	КД [Небо]
KEYCHANGE_DSS2	КД [Земля]
KEYCHANGE_EMOTION1	Эмоция (Печаль)
KEYCHANGE_EMOTION2	Эмоция (Янг)
KEYCHANGE_EMOTION3	Эмоция (Музыка)
KEYCHANGE_EMOTION4	Эмоция (Сердце)
KEYCHANGE_EMOTION5	Эмоция (Сердечки)
KEYCHANGE_EMOTION6	Эмоция (Бомба)
KEYCHANGE_EMOTION7	Эмоция (Идея)
KEYCHANGE_EMOTION8	Эмоция (Гроза)
KEYCHANGE_EMOTION9	Эмоция (Сожалею)
KEYCHANGE_GUILD_WINDOW	Гильдия
KEYCHANGE_HELP_WINDOW	Помощь
KEYCHANGE_IMPOSSIBLE_CHANGE	[Ctrl], [Alt], [Shift] здесь не допускаются!
KEYCHANGE_INGAMEEVENT	СОБЫТИЕ
KEYCHANGE_INTERFACE	Окно
KEYCHANGE_INVENTORY_WINDOW	Инвентарь
KEYCHANGE_KEY_SETTING	Настройки клавиатуры
KEYCHANGE_LEFT1	Влево
KEYCHANGE_LEFT2	Влево
KEYCHANGE_MERCENARY	Наемник
KEYCHANGE_MESSENGER_WINDOW	Друзья
KEYCHANGE_MINIMAP_MINER	Мини-карта (-)
KEYCHANGE_MINIMAP_PLUS	Мини-карта (+)
KEYCHANGE_MINIMAP_WINDOW	Большая карта
KEYCHANGE_MONSTER_CARD_WINDOW	Карта монстра
KEYCHANGE_NEXT_TARGET	Следующая цель
KEYCHANGE_PARTY_MATCH_WINDOW	Поиск группы
KEYCHANGE_PASSIVE_ATTR1	Реликтовый бонус (небо)
KEYCHANGE_PASSIVE_ATTR2	Реликтовый бонус (земля)
KEYCHANGE_PET_WINDOW	Питомец
KEYCHANGE_QUEST_SCROLL_ONOFF	Список заданий
KEYCHANGE_QUEST_WINDOW	Задания
KEYCHANGE_QUICKSLOT1	Уровень 1
KEYCHANGE_QUICKSLOT2	Уровень 2
KEYCHANGE_QUICKSLOT3	Уровень 3
KEYCHANGE_QUICKSLOT4	Уровень 4
KEYCHANGE_RIDE	Ехать верхом
KEYCHANGE_RIDE_BYE	Отослать коня
KEYCHANGE_RIDE_HORSE	Ехать верхом
KEYCHANGE_RIDE_PEED	Кормить коня
KEYCHANGE_RIGHT1	Вправо
KEYCHANGE_RIGHT2	Вправо
KEYCHANGE_ROOT1	Подобрать
KEYCHANGE_ROOT2	Подобрать
KEYCHANGE_SAVE	Сохранить
KEYCHANGE_SCREENSHOT	Скриншот
KEYCHANGE_SHOW_NAME	Показывать имена
KEYCHANGE_SKILL_WINDOW	Навыки
KEYCHANGE_SLOT1	Ячейка 1
KEYCHANGE_SLOT2	Ячейка 2
KEYCHANGE_SLOT3	Ячейка 3
KEYCHANGE_SLOT4	Ячейка 4
KEYCHANGE_SLOT5	Ячейка 5
KEYCHANGE_SLOT6	Ячейка 6
KEYCHANGE_SLOT7	Ячейка 7
KEYCHANGE_SLOT8	Ячейка 8
KEYCHANGE_SLOT_KET	Быстрый доступ
KEYCHANGE_STATUS_WINDOW	Персонаж
KEYCHANGE_SUNGMAHEE_GATE_ACHIEV	Трофей
KEYCHANGE_UP1	Вперед
KEYCHANGE_UP2	Вперед
LANGUAGE_AE	Арабский
LANGUAGE_CZ	Чешский
LANGUAGE_DE	Немецкий
LANGUAGE_DK	Датский
LANGUAGE_EN	Английский
LANGUAGE_ES	Испанский
LANGUAGE_FR	Французский
LANGUAGE_GR	Греческий
LANGUAGE_HU	Венгерский
LANGUAGE_IT	Итальянский
LANGUAGE_NL	Нидерландский
LANGUAGE_NONE	Ничего не выбрано
LANGUAGE_PL	Польский
LANGUAGE_PT	Португальский
LANGUAGE_RO	Румынский
LANGUAGE_RU	Русский
LANGUAGE_TR	Турецкий
LOAD_ERROR	Файл данных повреждён. Попробуйте установить Клиент заново. Нажмите сейчас на ' ESC '.
LOGIN_CONNECT	Соединить
LOGIN_CONNECTING	Происходит соединение с сервером.
LOGIN_DEFAULT_SERVERADDR	Имя сервера, Канал 1
LOGIN_EXIT	Выход
LOGIN_ID	Имя пользователя
LOGIN_PASSWORD	Пароль
LOGIN_REGION_TITLE	Выбрать место для счёта
LOGIN_SELECT_BUTTON	Выбрать
LOGIN_SELECT_EXIT	Выход
LOGIN_SELECT_OK	ОК
LOGIN_SELECT_TITLE	Выбрать сервер
LOOTING_SYSTEM_ARMOR	Броня
LOOTING_SYSTEM_CATEGORY_COMMON	Прочее
LOOTING_SYSTEM_CATEGORY_COMMON_BELT	Пояса
LOOTING_SYSTEM_CATEGORY_COMMON_EAR	Серьги
LOOTING_SYSTEM_CATEGORY_COMMON_FOOTS	Туфли
LOOTING_SYSTEM_CATEGORY_COMMON_GLOVE	Перчатки
LOOTING_SYSTEM_CATEGORY_COMMON_NECK	Ожерелья
LOOTING_SYSTEM_CATEGORY_COMMON_PENDANT	Талисманы
LOOTING_SYSTEM_CATEGORY_COMMON_PICK	Кирки
LOOTING_SYSTEM_CATEGORY_COMMON_ROD	Удочки
LOOTING_SYSTEM_CATEGORY_COMMON_SHIELD	Щиты
LOOTING_SYSTEM_CATEGORY_COMMON_WRIST	Браслеты
LOOTING_SYSTEM_CATEGORY_COSTUME	Костюм
LOOTING_SYSTEM_CATEGORY_COSTUME_ACCE	Шарфы
LOOTING_SYSTEM_CATEGORY_COSTUME_ARMOR	Костюмы
LOOTING_SYSTEM_CATEGORY_COSTUME_AURA	Одеяния ауры
LOOTING_SYSTEM_CATEGORY_COSTUME_ETC	Другое
LOOTING_SYSTEM_CATEGORY_COSTUME_HAIR	Прически
LOOTING_SYSTEM_CATEGORY_COSTUME_WEAPON	Облики оружия
LOOTING_SYSTEM_CATEGORY_DS	Тип
LOOTING_SYSTEM_CATEGORY_DS_DS	Кор Драконис
LOOTING_SYSTEM_CATEGORY_DS_ETC	Другое
LOOTING_SYSTEM_CATEGORY_ETC	Прочее
LOOTING_SYSTEM_CATEGORY_ETC_ETC	Другое
LOOTING_SYSTEM_CATEGORY_ETC_GIFTBOX	Подарочные ларцы
LOOTING_SYSTEM_CATEGORY_ETC_MATRIMONY	Свадьба и Брак
LOOTING_SYSTEM_CATEGORY_ETC_PARTY	Группа
LOOTING_SYSTEM_CATEGORY_ETC_POLYMORPH	Превращение
LOOTING_SYSTEM_CATEGORY_ETC_RECIPE	Изготовление
LOOTING_SYSTEM_CATEGORY_ETC_SEAL	Пергаменты
LOOTING_SYSTEM_CATEGORY_ETC_WEAPON_ARROW	Стрелы
LOOTING_SYSTEM_CATEGORY_FISH_MINING	Тип
LOOTING_SYSTEM_CATEGORY_FISH_MINING_ETC	Другое
LOOTING_SYSTEM_CATEGORY_FISH_MINING_FOOD	Питание
LOOTING_SYSTEM_CATEGORY_FISH_MINING_STONE	Руды и камни
LOOTING_SYSTEM_CATEGORY_JOB	Класс
LOOTING_SYSTEM_CATEGORY_JOB_ASSASSIN	Ниндзя
LOOTING_SYSTEM_CATEGORY_JOB_PUBLIC	Прочее
LOOTING_SYSTEM_CATEGORY_JOB_SHAMAN	Шаман
LOOTING_SYSTEM_CATEGORY_JOB_SURA	Сура
LOOTING_SYSTEM_CATEGORY_JOB_WARRIOR	Воин
LOOTING_SYSTEM_CATEGORY_JOB_WOLFMAN	Ликан
LOOTING_SYSTEM_CATEGORY_MOUNT_PET	Тип
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_CHARGED_PET	Питомцы
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_EGG	Яйца питомцев
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_FREE_PET	Для питомцев
LOOTING_SYSTEM_CATEGORY_MOUNT_PET_MOUNT	Ездовые животные
LOOTING_SYSTEM_CATEGORY_POTION	Тип
LOOTING_SYSTEM_CATEGORY_POTION_ABILITY	Материалы
LOOTING_SYSTEM_CATEGORY_POTION_ETC	Другое
LOOTING_SYSTEM_CATEGORY_POTION_HAIRDYE	Краска для волос
LOOTING_SYSTEM_CATEGORY_REFINE	Тип
LOOTING_SYSTEM_CATEGORY_REFINE_ALCHEMY	Повышает вероятность
LOOTING_SYSTEM_CATEGORY_REFINE_ETC	Другое
LOOTING_SYSTEM_CATEGORY_REFINE_MATERIAL	Материалы
LOOTING_SYSTEM_CATEGORY_REFINE_STONE	Камень духа
LOOTING_SYSTEM_CATEGORY_UNIQUE	Тип
LOOTING_SYSTEM_CATEGORY_UNIQUE_ABILITY	Потреб. товары
LOOTING_SYSTEM_CATEGORY_UNIQUE_ETC	Другое
LOOTING_SYSTEM_COMMON	Особое снаряжение
LOOTING_SYSTEM_COSTUME	Костюм
LOOTING_SYSTEM_DS	Алхимия камней Дракона
LOOTING_SYSTEM_ETC	Другой предмет
LOOTING_SYSTEM_EVENT	Предмет для события
LOOTING_SYSTEM_EXIT_WITHOUT_SAVING	Закрыть без сохранения?
LOOTING_SYSTEM_EXIT_WITH_SAVING	Сохранить и закрыть? Изменения вступят в силу, когда вы используете пропуск добычи.
LOOTING_SYSTEM_FISH_MINING	Рыбалка и горное дело
LOOTING_SYSTEM_HEAD	Шлем
LOOTING_SYSTEM_INIT	Сбросить
LOOTING_SYSTEM_INIT_QUESTION_DIALOG_TITLE	Хотите сбросить настройки?
LOOTING_SYSTEM_MESSAGE_ENABLE_VOUCHER	Функции активируются с пропуском добычи
LOOTING_SYSTEM_MESSAGE_POSSIBLE_ITEM_PICKUP	Вы получаете добычу согласно настройкам.
LOOTING_SYSTEM_MOUNT_PET	Ездовые животные и питомцы
LOOTING_SYSTEM_OFF	ВЫКЛ
LOOTING_SYSTEM_ON	ВКЛ
LOOTING_SYSTEM_POTION	Зелья
LOOTING_SYSTEM_QUESTION_ARMOR	Здесь можно настроить параметры сбора брони.
LOOTING_SYSTEM_QUESTION_COMMON	Вы можете настроить параметры сбора прочих предметов, которые могут использовать все классы.
LOOTING_SYSTEM_QUESTION_COSTUME	Здесь можно настроить параметры сбора костюмов (оружия, брони, головных уборов, шарфов и одеяний ауры).
LOOTING_SYSTEM_QUESTION_DS	Здесь можно настроить параметры предметов Алхимии камней Дракона.
LOOTING_SYSTEM_QUESTION_ETC	Здесь можно настроить параметры сбора для других предметов из следующих категорий: снаряжение, костюмы, улучшение, зелья, ездовые животные, питомцы, рыбалка, горное дело, книги навыков и предметы события.
LOOTING_SYSTEM_QUESTION_EVENT	Здесь можно настроить параметры сбора предметов к событию.
LOOTING_SYSTEM_QUESTION_FISH_MINING	Здесь можно настроить параметры сбора предметов для рыбалки и горного дела.
LOOTING_SYSTEM_QUESTION_HEAD	Здесь можно настроить параметры сбора предметов Алхимии камней Дракона.
LOOTING_SYSTEM_QUESTION_MOUNT_PET	Здесь можно настроить параметры сбора ездовых животных и питомцев.
LOOTING_SYSTEM_QUESTION_POTION	Здесь можно настроить параметры сбора зелий.
LOOTING_SYSTEM_QUESTION_REFINE	Здесь можно настроить параметры сбора предметов для улучшения.
LOOTING_SYSTEM_QUESTION_SKILL_BOOK	Включает в себя книги навыков для некоторых классов, а также навыков коня.
LOOTING_SYSTEM_QUESTION_UNIQUE	Здесь можно настроить параметры сбора уникальных предметов.
LOOTING_SYSTEM_QUESTION_WEAPON	К оружию относится всё оружие, которое можно выбрать, кроме стрел.
LOOTING_SYSTEM_REFINE	Улучшение
LOOTING_SYSTEM_SAVE	Сохранить
LOOTING_SYSTEM_SKILL_BOOK	Книга навыков
LOOTING_SYSTEM_TITLE	Фильтр добычи
LOOTING_SYSTEM_UNIQUE	Уникальные
LOOTING_SYSTEM_WEAPON	Оружие
LOOTING_SYSTEM_WEARING_LEVEL	Нужный уровень
LUCKY_BOX_NOTICE_YANG	Плата в янг за «Новый предмет наудачу»
LUCKY_BOX_RECV_BUTTON	Принять предмет
LUCKY_BOX_RECV_NAME	Содержимое:
LUCKY_BOX_RETRY_BUTTON	«Новый предмет наудачу»
LUCKY_BOX_TITLE_NAME	Ящичек удачи
MAILBOX_POST_ALL_DELETE_BUTTON	Удалить все
MAILBOX_POST_ALL_RECEIVE	Принять все
MAILBOX_POST_READ_BLOCK	Блокировать
MAILBOX_POST_READ_DELETE	Удалить
MAILBOX_POST_READ_FROM	От:
MAILBOX_POST_READ_MAIN_TITLE	Сообщение
MAILBOX_POST_READ_RECV	Принять
MAILBOX_POST_READ_TITLE	Тема:
MAILBOX_POST_SEND_TITLE	Сообщение
MAILBOX_POST_WRITE_BUTTON_TEXT	Отправить
MAILBOX_POST_WRITE_CLOSE_TEXT	Закрыть
MAILBOX_POST_WRITE_CONFIRM_TEXT	Проверить получателя
MAILBOX_POST_WRITE_SEND_TEXT	Отправить
MAILBOX_POST_WRITE_TITLE	Тема:
MAILBOX_POST_WRITE_TO	Кому:
MAILBOX_TITLE	Входящие
MALL_PASSWORD_TITLE	Пароль
MALL_TITLE	Склад магазина
MARKET_TITLE	Загрузка
MARKLIST_REFRESH	Обновить
MARKLIST_TITLE	Регистрировать символ гильдии
MC_ACHIEV_ABLE_REGIST	Забрать
MC_ACHIEV_APPLY	Применить
MC_ACHIEV_APPLYING	Активно
MC_ACHIEV_BONUS_NONE	Без бонуса
MC_ACHIEV_DISABLE	Неактивно
MC_ACHIEV_DUNGEON	Достижения в подземелье
MC_ACHIEV_DUNGEON_BONUS	Бонус за подземелье
MC_ACHIEV_FIELD	Достижения в поле
MC_ACHIEV_FIELD_BONUS	Бонус за поле
MC_ACHIEV_REGIST	Забрать достижение
MC_ACHIEV_SHOW	Детали
MC_ACHIEV_SORT_ABLE_REGIST	Забрать
MC_ACHIEV_SORT_ALL	Все
MC_ACHIEV_SORT_APPLYING	Активно
MC_ACHIEV_SORT_DISABLE	Не выполнено
MC_ACHIEV_SORT_REGIST	Можно активировать
MC_EXCHANGE_BUTTON	Обменять
MC_MISSION_INIT_BUTTON	Изменить уровень задания
MC_MOTION_BUTTON	Движение
MC_POLY_BUTTON	Превратиться
MC_PROMOTION_BUTTON	Улучшить
MC_REQUEST_MISSION_BUTTON	Получить задание
MC_REWARD_CARD_BUTTON	Получить карту монстра
MC_SHUFFLE_BUTTON	Изменить порядок карт заданий
MC_SUMMON_BUTTON	Призвать
MC_TAB_BUTTON_ACHIEV	Бонусы за достижения
MC_TAB_BUTTON_CARD_MISSION	Задание с карты
MC_TAB_BUTTON_PARTY	Из подземелий
MC_TAB_BUTTON_SOLO	Не из подземелий
MC_WARP_BUTTON	Телепортировать
MERCENARY_MANAGE_DELAY_CURE	Долгое лечение
MERCENARY_MANAGE_DRAIN_MAIN	Наемник-ученик
MERCENARY_MANAGE_DRAIN_START	Обучение
MERCENARY_MANAGE_DRAIN_SUB	Наемник-учитель
MERCENARY_MANAGE_EXP	Очки опыта наемника
MERCENARY_MANAGE_FIRE	Уволить
MERCENARY_MANAGE_IMMEDIATELY_CURE	Быстрое лечение
MERCENARY_MANAGE_INFO	О наемнике
MERCENARY_MANAGE_LEVEL	Уровень наемника
MERCENARY_MANAGE_LEVELUP	Поднять уровень наемника
MERCENARY_MANAGE_NAME	Имя
MERCENARY_MANAGE_NEXT_EXP	Нужный для задания опыт
MERCENARY_MANAGE_NEXT_LEVEL	Следующий уровень
MERCENARY_MANAGE_REGIST_DRAIN	Обучение
MERCENARY_MANAGE_SKILL	Навык
MERCENARY_MANAGE_SPECIFICITY	Специализация
MERCENARY_MISSION_ACTIVE	Запас сил
MERCENARY_MISSION_ALL_CANCLE	Уволить всех
MERCENARY_MISSION_AUTO_JOIN	Авто-выбор
MERCENARY_MISSION_BONUS_REWARD	Получить бонусную награду!
MERCENARY_MISSION_CURRENT_INFO	Статус заданий
MERCENARY_MISSION_DECREASE_RUNTIME	Уменьшить длительность задания
MERCENARY_MISSION_DECREAS_INJURE	Снижает риск ранения
MERCENARY_MISSION_DISPATCH_BENEFITS	Бонусы группы
MERCENARY_MISSION_DISPATCH_MERCENARY	Отправить наемника
MERCENARY_MISSION_EXP_BONUS	Получить бонусные очки опыта!
MERCENARY_MISSION_INFO	О задании
MERCENARY_MISSION_JOIN	Участвовать
MERCENARY_MISSION_LIMIT_ACTIVE	Нужный запас сил
MERCENARY_MISSION_LIMIT_LEVEL	Нужный уровень наемника
MERCENARY_MISSION_MERCENARY_LIST	Завербованные наемники
MERCENARY_MISSION_REGIST	Задания
MERCENARY_MISSION_REWARD_LIST	Награды
MERCENARY_MISSION_SUCCESS_PCT	Шанс на успех
MERCENARY_MISSION_SUGGESTION	Рекомендуемые наемники
MERCENARY_MISSION_TYPE	Тип задания
MERCENARY_TITLE	Система наемников
MESSAGE	Это-сообщение
MESSENGER_ADD_FRIEND	Добавить друга
MESSENGER_BLOCK_FRIEND	Блокировать
MESSENGER_DELETE_FRIEND	Удалить
MESSENGER_MOBILE	Послать смс
MESSENGER_OPEN_GUILD	Открыть окно Гильдии
MESSENGER_TITLE	Друзья
MESSENGER_USE_GUILD_MOVE_SKILL	Применяйте навык передвижения Гильдии
MESSENGER_WHISPER	Шептание
MINIGAME_FISH_EVENT_USE_COUNT	Количество
MINIMIZE	Свернуть
MINI_BOSS_DUNGEON_DESC_BTN	Правила события
MINI_BOSS_DUNGEON_TITLE_NAME	Участник
MINI_BOSS_DUNGEON_TITLE_NUM	Ранг
MINI_BOSS_DUNGEON_TITLE_POINT	Очки апокалипсиса
MINI_BOSS_DUNGEON_TOOTIP_01	Обзор подземелья
MINI_BOSS_DUNGEON_TOOTIP_02	Апокалипсис: уровень 40–80
MINI_BOSS_DUNGEON_TOOTIP_03	Апокалипсис с 81 уровня
MINI_BOSS_DUNGEON_TOOTIP_04	Войти
MINI_BOSS_DUNGEON_TOOTIP_05	Оставшееся время
MINI_BOSS_DUNGEON_TOOTIP_06	Мои очки апокалипсиса
MINI_BOSS_DUNGEON_TOOTIP_07	Оставш. апокалипсисы
MINI_BOSS_DUNGEON_TOOTIP_08	Моя награда
MINI_BOSS_TITLE	Зодиак-апокалипсис
MINI_GAME_BLACK_AND_WHITE_DONATE	Сделать взнос
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Состязание провидцев
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Рейтинг
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Призы
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Начать
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Состязание провидцев
MINI_GAME_CATCHKING_CHALLENGE	Выбор колод
MINI_GAME_CATCHKING_HELP_TEXT	Правила
MINI_GAME_CATCHKING_HIGH_SCORE	Рекорд
MINI_GAME_CATCHKING_MYNUMBER	Моя карта
MINI_GAME_CATCHKING_POPUP_CONFIRM	Подсказки вкл/выкл
MINI_GAME_CATCHKING_RETRY	Еще раз
MINI_GAME_CATCHKING_REWARD	Ваш приз
MINI_GAME_CATCHKING_SCORE	Очки
MINI_GAME_CATCHKING_SELECTION_NUMBER	Открытая карта
MINI_GAME_CATCHKING_START_TEXT	Начать
MINI_GAME_CATCHKING_TITLE	«Хватай короля»
MINI_GAME_FISH_HELP_TEXT	Помощь
MINI_GAME_FISH_START_TEXT	Начать
MINI_GAME_FISH_TITLE	Рыбалка-головоломка
MINI_GAME_RUMI_DISCARD_TEXT	Безопасный режим
MINI_GAME_RUMI_EXIT	Завершить
MINI_GAME_RUMI_LBUTTON_DESC	Добавить карту левой кнопкой мыши
MINI_GAME_RUMI_RBUTTON_DESC	Удалить карту правой кнопкой мыши
MINI_GAME_RUMI_SCORE	Очки
MINI_GAME_RUMI_START_TEXT	Старт
MINI_GAME_RUMI_TITLE	Карточная игра Окей
MINI_GAME_YUTNORI_COM_TEXT	Компьютер
MINI_GAME_YUTNORI_PLAYER_TEXT	Игрок
MINI_GAME_YUTNORI_PROBABILITY	Вероятность
MINI_GAME_YUTNORI_PROB_DESC	Выберите бросок, вероятность которого хотите увеличить.
MINI_GAME_YUTNORI_REMAIN_COUNT	Ходы
MINI_GAME_YUTNORI_REWARD_TEXT	Награда
MINI_GAME_YUTNORI_SCORE	Результат
MINI_GAME_YUTNORI_START_TEXT	Начать
MINI_GAME_YUTNORI_THROW	Бросить
MINI_GAME_YUTNORI_TITLE	Ютнори
MINI_GAME_YUTNORI_YUTSEM1	До
MINI_GAME_YUTNORI_YUTSEM2	Ге
MINI_GAME_YUTNORI_YUTSEM3	Геол
MINI_GAME_YUTNORI_YUTSEM4	Йут
MINI_GAME_YUTNORI_YUTSEM5	Мо
MINI_GAME_YUTNORI_YUTSEM6	Бак-до
MISTS_ISLAND_EMPIRE_NAME	Имя империи
MISTS_ISLAND_EMPIRE_SCORE	Число очков империи
MISTS_ISLAND_END_TIME	Дата окончания
MISTS_ISLAND_EXIT	Выйти
MISTS_ISLAND_INFO_TEXT	О ранге и статусе
MISTS_ISLAND_RANK	Ранг
MISTS_ISLAND_SCORE	Число очков
MISTS_ISLAND_TITLE_RANK	Информация о ранге и статусе
MISTS_ISLAND_TITLE_SCORE	Обзор
MONSTER_CARD_ACHIEV_BONUS	Достижения
MOUNT_UPGRADE_SYSTEM_DISABLE_GIVE_FEED_BUTTON_POPUP_MESSAGE	Вы больше не можете кормить коня.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED	Покормите коня
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_BUTTON_POPUP_MESSAGE	Скормите коню весь корм, чтобы повысить уровень.
MOUNT_UPGRADE_SYSTEM_GIVE_FEED_NOT_ENOUGH	Не хватает корма для коня
MOUNT_UPGRADE_SYSTEM_LEVEL_UP	Повысить уровень
MOUNT_UPGRADE_SYSTEM_TITLE	Повысить уровень коня
MOUSEBUTTON_ATTACK	Нападать
MOUSEBUTTON_AUTO_ATTACK	Нападать автоматически
MOUSEBUTTON_CAMERA	Камера
MOUSEBUTTON_SKILL	Навыки
MUSICLIST_TITLE	Выбор музыки
MYSHOP_DECO_CANCEL	Закрыть
MYSHOP_DECO_DEFAULT	Обычный
MYSHOP_DECO_NEXT	Дальше
MYSHOP_DECO_OK	Закрыть
MYSHOP_DECO_PREV	Назад
MYSHOP_DECO_SELECT_MODEL	Выберите, как будет выглядеть ваш магазин.
MYSHOP_DECO_SELECT_TITLE	Выберите, как будет выглядеть имя вашего магазина.
NO	Нет
OK	ОК
OPPOSITES	Отказаться
OPTION_ALWAYS_SHOW_NAME	Имя
OPTION_ALWAYS_SHOW_NAME_OFF	ограничен
OPTION_ALWAYS_SHOW_NAME_ON	всегда
OPTION_BLOCK	блокировать
OPTION_BLOCK_EXCHANGE	Торговать
OPTION_BLOCK_FRIEND	Друзья
OPTION_BLOCK_GUILD	Гильдия
OPTION_BLOCK_PARTY	Группа
OPTION_BLOCK_PARTY_REQUEST	Заявка
OPTION_BLOCK_WHISPER	Шептание
OPTION_CAMERA_DISTANCE	Камера
OPTION_CAMERA_DISTANCE_LONG	дальний
OPTION_CAMERA_DISTANCE_SHORT	ближний
OPTION_DELETE_MOBILE_BUTTON	Удалить номер мобильного тел.
OPTION_EFFECT	Hit инфо
OPTION_ENV_EFFECT	Окруж. среда
OPTION_ENV_EFFECT_OFF	Выкл.
OPTION_ENV_EFFECT_ON	Вкл.
OPTION_FOG	Туман
OPTION_FOG_DENSE	высокий
OPTION_FOG_LIGHT	низкий
OPTION_FOG_MIDDLE	Средний
OPTION_FOG_OFF	Выкл.
OPTION_FOG_ON	Вкл.
OPTION_INPUT_MOBILE_BUTTON	ввести номер мобильного тел.
OPTION_KEY_SETTING	Клавиатура
OPTION_LANGUAGE_CHANGE	Применить
OPTION_LANGUAGE_SELECT	Язык
OPTION_LOOTING_SETTING	Добыча
OPTION_MOBILE	мобильный тел.
OPTION_MOB_INFO	Данные монстра
OPTION_MOB_INFO_AGGR	Агрессия
OPTION_MOB_INFO_LEVEL	Уровень
OPTION_MUSIC	Музыка
OPTION_MUSIC_CHANGE	Сменить
OPTION_MUSIC_DEFAULT_THEMA	Стандартная музыка Метин 2
OPTION_NAME_COLOR	Цвет имени
OPTION_NAME_COLOR_EMPIRE	ЦветИмперии
OPTION_NAME_COLOR_NORMAL	Норм.
OPTION_NIGHT_MODE	Ночь
OPTION_NIGHT_MODE_OFF	Выкл.
OPTION_NIGHT_MODE_ON	Вкл.
OPTION_PVPMODE	PvP-режим
OPTION_PVPMODE_FREE	Свободн
OPTION_PVPMODE_FREE_TOOLTIP	Вы можете нападать на всех игроков.
OPTION_PVPMODE_GUILD	Гильдия
OPTION_PVPMODE_GUILD_TOOLTIP	Вы можете нападать на всех игроков за исключением членов Гильдии.
OPTION_PVPMODE_PEACE	Мир
OPTION_PVPMODE_PEACE_TOOLTIP	Атака игроков одной империи исключена.
OPTION_PVPMODE_REVENGE	Враждебн
OPTION_PVPMODE_REVENGE_TOOLTIP	Вы можете нападать только на игроков другой рассы.
OPTION_SALESTEXT	Название магазина
OPTION_SALESTEXT_VIEW_OFF	спрятать
OPTION_SALESTEXT_VIEW_ON	показывать
OPTION_SETTING	Открыть
OPTION_SHADOW_QUALITY	Качество теней
OPTION_SHADOW_QUALITY_AVERAGE	Среднее
OPTION_SHADOW_QUALITY_AVERAGE_TOOLTIP	Среднее качество теней
OPTION_SHADOW_QUALITY_BAD	Низкое
OPTION_SHADOW_QUALITY_BAD_TOOLTIP	Низкое качество теней
OPTION_SHADOW_QUALITY_GOOD	Высокое
OPTION_SHADOW_QUALITY_GOOD_TOOLTIP	Высокое качество теней
OPTION_SHADOW_TARGET	Тень от цели
OPTION_SHADOW_TARGET_ALL	4
OPTION_SHADOW_TARGET_ALL_TOOLTIP	Тени от всех целей
OPTION_SHADOW_TARGET_GROUND	2
OPTION_SHADOW_TARGET_GROUND_AND_SOLO	3
OPTION_SHADOW_TARGET_GROUND_AND_SOLO_TOOLTIP	Фоновые тени и тень от игрока
OPTION_SHADOW_TARGET_GROUND_TOOLTIP	Фоновые тени
OPTION_SHADOW_TARGET_NONE	1
OPTION_SHADOW_TARGET_NONE_TOOLTIP	Без теней
OPTION_SNOW_MODE	Снегопад
OPTION_SNOW_MODE_OFF	Выкл.
OPTION_SNOW_MODE_ON	Вкл.
OPTION_SNOW_TEXTURE_MODE	Снег
OPTION_SNOW_TEXTURE_MODE_OFF	Выкл.
OPTION_SNOW_TEXTURE_MODE_ON	Вкл.
OPTION_SOUND	Звуковые эффекты
OPTION_TARGET_BOARD	Меню
